image_id,instance_idx,s_px,width_px
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,0.0,8.0
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,12.0,22.49997901916504
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,24.0,30.49997901916504
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,36.0,35.999977111816406
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,48.0,40.49998474121094
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,60.0,41.50000762939453
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,72.0,44.49999237060547
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,84.0,49.499977111816406
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,96.0,48.0
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,108.0,48.0000114440918
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,120.0,50.5000114440918
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,132.0,48.5
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,144.0,42.49999237060547
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,156.0,35.49998092651367
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,168.0,31.999982833862305
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,180.0,27.999996185302734
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,192.0,22.999998092651367
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,204.0,18.999990463256836
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,216.0,19.00000762939453
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,0,221.1400604248047,17.00000762939453
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,0.0,8.0
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,12.0,19.499998092651367
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,24.0,29.0000057220459
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,36.0,33.499996185302734
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,48.0,42.99999237060547
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,60.0,41.49998474121094
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,72.0,43.499977111816406
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,84.0,47.00001525878906
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,96.0,47.5000114440918
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,108.0,47.499996185302734
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,120.0,49.499996185302734
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,132.0,50.9999885559082
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,144.0,44.999996185302734
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,156.0,39.5
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,168.0,33.49997329711914
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,180.0,29.0
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,192.0,25.999990463256836
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,204.0,19.999988555908203
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,216.0,18.49998664855957
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,228.0,17.999977111816406
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,1,234.7519989013672,16.999982833862305
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,0.0,8.0
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,12.0,20.5
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,24.0,29.000019073486328
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,36.0,34.99997329711914
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,48.0,41.50001907348633
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,60.0,41.0
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,72.0,42.50001525878906
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,84.0,47.49999237060547
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,96.0,46.499996185302734
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,108.0,48.4999885559082
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,120.0,50.4999885559082
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,132.0,49.5
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,144.0,43.499977111816406
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,156.0,36.9999885559082
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,168.0,32.0000114440918
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,180.0,26.999990463256836
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,192.0,23.50000762939453
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,204.0,19.000009536743164
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,216.0,18.499980926513672
1_jpg.rf.ac859e6a8e194a26069d506ff5da7ad3,2,227.2306365966797,16.999982833862305
